Accession,Virus,Host_agg,Species_agg,vsWuhan,vsTor2,vsMers,vsOC43,vsHKU1,vs229E,vsNL63,MaxSim,Binds,Source,Binds_prob,Binds_predicted
AY274119,SARS coronavirus Tor2,Homo sapiens,SARS-CoV-1,75.96,100.0,34.79,37.15,34.92,34.8,30.13,100.0,1,Train,0.99925845685811,1
AY394987,SARS coronavirus HZS2-Fb,Homo sapiens,SARS-CoV-1,76.04,99.84,34.54,37.15,34.92,34.8,30.26,99.84,1,Train,0.9993133190067132,1
AY278741,SARS coronavirus Urbani,Homo sapiens,SARS-CoV-1,76.04,99.92,34.79,37.15,34.92,34.8,30.26,99.92,1,Train,0.9992548469040357,1
AY310120,SARS coronavirus FRA,Homo sapiens,SARS-CoV-1,75.96,99.84,34.89,37.02,34.79,34.8,30.13,99.84,1,Train,0.9988453118642436,1
JX163927,SARS coronavirus Tor2 isolate Tor2/FP1-10851,Minks,Sarbecovirus,75.96,99.92,34.79,37.15,34.92,34.8,29.89,99.92,1,Test,0.9993140886995482,1
AY714217,SARS Coronavirus CDC#200301157,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.29,34.92,34.8,30.11,99.84,1,Train,0.9991418426875588,1
DQ412578,SARS coronavirus isolate CUHKcs52UR spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,76.04,99.84,34.89,37.15,34.92,34.8,30.26,99.84,1,Test,0.9990877835161568,1
DQ412596,SARS coronavirus isolate CUHKtc14NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.999183801162535,1
AY278554,SARS coronavirus CUHK-W1,Homo sapiens,SARS-CoV-1,76.12,99.76,34.54,37.15,34.92,34.8,30.26,99.76,1,Train,0.9991684919541118,1
FJ882931,SARS coronavirus ExoN1 isolate P3pp12,Homo sapiens,SARS-CoV-1,76.12,99.84,34.79,37.15,34.92,34.97,30.38,99.84,1,Train,0.99911540409514,1
AY394978,SARS coronavirus GZ-B,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9993586722341218,1
DQ412588,SARS coronavirus isolate CUHKtc04NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9990522558172816,1
AY485277,SARS coronavirus Sino1-11,Homo sapiens,SARS-CoV-1,76.04,99.84,34.35,37.15,34.92,34.8,30.26,99.84,1,Train,0.998880792342589,1
GU553363,SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001,Homo sapiens,SARS-CoV-1,75.96,99.84,34.89,37.15,34.92,34.97,30.26,99.84,1,Train,0.9988601382736394,1
DQ412594,SARS coronavirus isolate CUHKtc10NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,77.04,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9990721568086316,1
FJ882949,SARS coronavirus wtic-MB isolate P3pp23,Homo sapiens,SARS-CoV-1,75.96,99.84,34.7,37.15,34.92,34.8,30.26,99.84,1,Train,0.9992071732064952,1
AY394979,SARS coronavirus GZ-C,Homo sapiens,SARS-CoV-1,75.88,99.76,34.89,37.29,35.05,34.97,30.38,99.76,1,Train,0.9989487167296098,1
AY394999,SARS coronavirus LC2,Homo sapiens,SARS-CoV-1,75.96,99.84,34.7,37.15,34.92,34.8,30.17,99.84,1,Train,0.9992589050984356,1
FJ882963,SARS coronavirus P2,Homo sapiens,SARS-CoV-1,75.88,99.76,34.79,37.29,34.92,34.8,30.11,99.76,1,Train,0.9993472930203022,1
DQ412575,SARS coronavirus isolate CUHKcs04ST spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9991571964612048,1
AY559081,SARS coronavirus Sin842,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9992663506573404,1
DQ412615,SARS coronavirus isolate CUHKtc39TI spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,76.04,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9991645464398216,1
FJ882950,SARS coronavirus ExoN1 isolate P3pp60,Homo sapiens,SARS-CoV-1,76.04,99.76,34.7,37.15,34.92,34.73,30.38,99.76,1,Train,0.9990494503864616,1
AY279354,SARS coronavirus BJ04,Homo sapiens,SARS-CoV-1,75.96,99.76,34.54,37.15,34.92,34.64,30.13,99.76,1,Train,0.9995161173520034,1
AY463059,SARS coronavirus ShanghaiQXC1,Homo sapiens,SARS-CoV-1,75.88,99.76,34.79,37.02,34.92,34.8,30.24,99.76,1,Train,0.999111794651713,1
AY772062,SARS coronavirus WH20,Homo sapiens,SARS-CoV-1,76.04,99.68,34.79,37.15,34.79,34.64,30.05,99.68,1,Train,0.9989701573611092,1
DQ412609,SARS coronavirus isolate CUHKtc32NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.88,99.76,34.7,37.15,34.92,34.8,30.17,99.76,1,Train,0.9992011666560084,1
DQ412628,SARS coronavirus isolate CUHKtc53L spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.76,34.7,37.15,34.92,34.8,30.17,99.76,1,Train,0.9991690960126012,1
JX162087,SARS coronavirus ExoN1 isolate c5P10,Homo sapiens,SARS-CoV-1,75.88,99.76,34.72,37.37,34.92,34.8,30.26,99.76,1,Train,0.9991471131319084,1
EU371563,SARS coronavirus BJ182-8,Homo sapiens,SARS-CoV-1,75.88,99.76,34.7,37.37,34.79,34.64,30.13,99.76,1,Train,0.9990299932780324,1
AY654624,SARS coronavirus TJF,Homo sapiens,SARS-CoV-1,75.88,99.68,34.79,37.15,34.79,34.11,30.26,99.68,1,Test,0.999340048658255,1
AY429072,SARS coronavirus BJ302 clone 1 spike glycoprotein gene,Homo sapiens,SARS-CoV-1,75.88,99.68,34.63,37.15,34.92,34.97,30.38,99.68,1,Train,0.9992333480823408,1
DQ412617,SARS coronavirus isolate CUHKtc42NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.88,99.76,34.79,37.15,34.92,34.8,30.26,99.76,1,Train,0.9990910320252968,1
JX163926,SARS coronavirus Tor2 isolate Tor2/FP1-10912,Minks,Sarbecovirus,75.88,99.84,34.79,37.15,34.92,34.8,29.89,99.84,1,Train,0.99924467104665,1
DQ412614,SARS coronavirus isolate CUHKtc38NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.76,34.79,37.15,34.92,34.8,30.26,99.76,1,Train,0.9989374307069694,1
FJ882940,SARS coronavirus ExoN1 isolate P3pp37,Homo sapiens,SARS-CoV-1,75.96,99.68,34.82,37.29,35.05,35.13,30.5,99.68,1,Train,0.9993130611843029,1
FJ882956,SARS coronavirus ExoN1 isolate P3pp53,Homo sapiens,SARS-CoV-1,76.04,99.76,34.79,37.15,34.92,34.97,30.38,99.76,1,Train,0.9992849969206868,1
AY394992,SARS coronavirus HZS2-C,Homo sapiens,SARS-CoV-1,76.04,99.68,34.63,37.02,34.79,34.8,30.13,99.68,1,Train,0.998711557557313,1
EU371562,SARS coronavirus BJ182-4,Homo sapiens,SARS-CoV-1,75.9,99.68,34.7,37.37,34.79,34.64,30.13,99.68,1,Test,0.9992291551927132,1
FJ882941,SARS coronavirus ExoN1 isolate P3pp8,Homo sapiens,SARS-CoV-1,76.04,99.68,34.7,37.15,34.92,34.97,30.26,99.68,1,Train,0.9991921786755268,1
AY559093,SARS coronavirus Sin845,Homo sapiens,SARS-CoV-1,75.88,99.76,34.79,37.15,34.92,34.64,30.13,99.76,1,Test,0.9992687743621016,1
FJ882944,SARS coronavirus ExoN1 isolate P3pp23,Homo sapiens,SARS-CoV-1,76.12,99.76,34.79,37.15,34.92,34.97,30.38,99.76,1,Train,0.9993055422997724,1
EU371560,SARS coronavirus BJ182a,Homo sapiens,SARS-CoV-1,75.72,99.6,34.6,37.24,34.66,34.31,30.01,99.6,1,Test,0.9989630464108102,1
AY278487,SARS coronavirus BJ02,Homo sapiens,SARS-CoV-1,76.12,99.68,34.7,37.15,34.92,34.8,30.26,99.68,1,Test,0.999136003251425,1
FJ882960,SARS coronavirus ExoN1 isolate P3pp34,Homo sapiens,SARS-CoV-1,76.04,99.76,34.7,37.02,34.79,34.8,30.38,99.76,1,Test,0.9989024907773488,1
AB263618,SARS coronavirus Frankfurt1-v01 S gene for spike glycoprotein,Homo sapiens,SARS-CoV-1,75.72,99.6,34.82,37.37,34.92,34.97,30.26,99.6,1,Train,0.998748922932271,1
AY648300,SARS coronavirus HHS-2004 spike protein (S) mRNA,Homo sapiens,SARS-CoV-1,75.88,99.52,34.7,37.02,34.79,34.64,29.93,99.52,1,Train,0.9988718353622535,1
FJ882929,SARS coronavirus ExoN1 isolate P3pp1,Homo sapiens,SARS-CoV-1,75.96,99.6,34.79,37.15,34.79,34.81,30.38,99.6,1,Train,0.9988190135418132,1
AY394985,SARS coronavirus HSZ-Bb,Homo sapiens,SARS-CoV-1,76.12,99.6,34.79,37.29,34.79,34.8,30.26,99.6,1,Train,0.9988070816343276,1
AY278490,SARS coronavirus BJ03,Homo sapiens,SARS-CoV-1,76.19,99.52,34.63,37.02,34.92,34.8,30.26,99.52,1,Test,0.9991722560192176,1
DQ514532,SARS coronavirus CS24 spike glycoprotein gene,Civet,Sarbecovirus,75.96,99.68,34.98,37.15,34.92,34.8,30.13,99.68,1,Train,0.9991756971113128,1
DQ514531,SARS coronavirus CS21 spike glycoprotein gene,Civet,Sarbecovirus,76.04,99.6,35.08,37.15,34.92,34.8,30.26,99.6,1,Train,0.9995453525860616,1
