Accession,Binds,Source,Binds_prob,Binds_predicted
AGG55737,0,Train,4.625205752948566e-05,0
AY613953,1,Train,0.9914125148883469,1
ARB07599,1,Train,0.9942156266942379,1
AB257344,1,Train,0.9998490484333429,1
AB263618,1,Train,0.99983362412772,1
QEG03757,1,Train,0.9974190056903462,1
AIY60528,1,Train,0.9320830948547019,1
ATG84767,1,Train,0.943786628249322,1
AKJ21959,0,Train,0.00010612153204114489,0
AZU90731,1,Train,0.9632580102963829,1
ATG84679,1,Train,0.9601332266321674,1
AKP80596,0,Train,7.585909677050808e-05,0
AGT51461,1,Train,0.8807635992081984,1
ATG31100,0,Train,0.00012596539749017705,0
QCQ20050,0,Train,0.0004323138386483051,0
ASU91208,1,Train,0.9690550486301565,1
AKJ22121,0,Train,0.00012420223876255965,0
APQ31244,0,Train,0.006673019990756514,0
AWM11456,0,Train,9.857940531718141e-05,0
AVU05494,0,Train,7.075866481339775e-05,0
QOV05164,0,Train,0.12311348708042759,0
QCO95422,0,Train,0.00013586201213987588,0
ARE29961,1,Train,0.9904993614950179,1
AKJ22013,0,Train,6.942487456415033e-05,0
QCO95428,0,Train,0.00011144159828144287,0
QBF80532,1,Train,0.9331089855649352,1
ART84250,0,Train,0.0009766454577020097,0
AZL47228,0,Train,9.581441299391332e-05,0
DQ514531,1,Train,0.9998911307884408,1
AST12964,1,Train,0.9896509563308857,1
ABN10848,1,Train,0.8673535627476938,1
ADO39828,0,Train,1.5198507345164481e-06,0
AWQ28488,0,Train,0.0003121364264246755,0
YP_009824967,0,Train,0.062227627463929944,0
AVK87318,1,Train,0.9352983558230635,1
AKJ21941,0,Train,7.908584475382763e-05,0
QDF43805,0,Train,0.014150065723815115,0
DQ412628,1,Train,0.9997759583798554,1
QCQ19816,0,Train,5.091107370907974e-05,0
ARB07406,1,Train,0.9864909002711701,1
ACT10927,0,Train,1.207882253484793e-07,0
AKJ21755,0,Train,6.66181502595838e-05,0
QKV43817,0,Train,0.0001225490617247233,0
AYR18448,0,Train,0.011305162851422846,0
