Accession,Binds,Source,Binds_prob,Binds_predicted
AGG55737,0,Train,0.00012033820943608032,0
AY613953,1,Train,0.9997722545477357,1
ARB07599,1,Train,0.989922824482504,1
AB257344,1,Train,0.9994916094469493,1
AB263618,1,Train,0.9995346821203154,1
QEG03757,1,Train,0.9961999943477975,1
AIY60528,1,Train,0.935636874701296,1
ATG84767,1,Train,0.9444777068094207,1
AKJ21959,0,Train,0.0001529873179219865,0
AZU90731,1,Train,0.9581043299257961,1
ATG84679,1,Train,0.9638295504851675,1
AKP80596,0,Train,0.00018506407499212446,0
AGT51461,1,Train,0.8870979432661464,1
ATG31100,0,Train,0.0005187582854173844,0
QCQ20050,0,Train,0.0009087201636259927,0
ASU91208,1,Train,0.9667669639558737,1
AKJ22121,0,Train,0.00017875768825713787,0
APQ31244,0,Train,0.0003445894136586656,0
AWM11456,0,Train,0.00014547118272293657,0
AVU05494,0,Train,0.00011488931423275337,0
QOV05164,0,Train,0.09974427976014467,0
QCO95422,0,Train,7.54609955631164e-05,0
ARE29961,1,Train,0.9865408031063184,1
AKJ22013,0,Train,0.00012282200433650766,0
QCO95428,0,Train,9.644030635316014e-05,0
QBF80532,1,Train,0.9468832777680877,1
ART84250,0,Train,0.0012996548316909608,0
AZL47228,0,Train,0.0001255453297544899,0
DQ514531,1,Train,0.9997571471561282,1
AST12964,1,Train,0.983920977911307,1
ABN10848,1,Train,0.8461109160764886,1
ADO39828,0,Train,8.250913052711616e-06,0
AWQ28488,0,Train,0.0005235228140402877,0
YP_009824967,0,Train,0.002631010999980423,0
AVK87318,1,Train,0.9480208927869865,1
AKJ21941,0,Train,0.00013808345280652296,0
QDF43805,0,Train,0.00488012372295776,0
DQ412628,1,Train,0.9995901286252049,1
QCQ19816,0,Train,0.00011298605479470075,0
ARB07406,1,Train,0.9784103994306639,1
ACT10927,0,Train,2.7916456799906408e-05,0
AKJ21755,0,Train,0.00014694735378816676,0
QKV43817,0,Train,0.0002197871212629001,0
AYR18448,0,Train,0.011259458767275297,0
ACN89743,0,Train,0.00011377817231714404,0
AQY61719,0,Train,0.0001793300237882776,0
AY559089,1,Train,0.9870162474859129,1
AHL38184,0,Train,0.0001559171625038056,0
ATG84877,1,Train,0.9481736550371194,1
QBF80565,1,Train,0.9176947690470708,1
YP_001718605,0,Train,0.0016665232742254796,0
QGQ60312,0,Train,0.0001840292341835868,0
AFE48827,0,Train,0.05521406108547177,0
AFG25760,0,Train,4.155315317890977e-05,0
AID56715,0,Train,0.0002676787008587435,0
ADN03339,1,Train,0.9877680834531094,1
ALM31938,0,Train,0.0001897813162871978,0
AIN52130,0,Train,0.00013994541793386765,0
AYR18430,0,Train,0.0011693000890627848,0
ADO39839,0,Train,7.331684660298833e-07,0
AHI48517,1,Train,0.9479289128055914,1
AZP53858,0,Train,0.0005282281961037174,0
AQK38168,0,Train,0.0002175525757307481,0
AYR18400,0,Train,0.003257760788092099,0
AID56691,0,Train,0.00013508222736141994,0
AWM11474,0,Train,0.00022485609220204293,0
AY304489,1,Train,0.9994664227681509,1
GQ153548,0,Train,0.018360704322423274,0
QER78627,0,Train,0.000570933076168341,0
ALF39589,0,Train,0.000654681372204882,0
QCQ20044,0,Train,0.0006904118884591494,0
AFB74179,0,Train,0.0003631142704795898,0
ATQ39390,0,Train,0.014386304935520192,0
QED88040,1,Train,0.9893008831095077,1
AHC03502,0,Train,0.00012422778029644668,0
MK211376,1,Train,0.9502734611605513,1
AKN24803,1,Train,0.9230976822789168,1
ALA50256,1,Train,0.9896295192448653,1
AYR18567,0,Train,0.0008167844875147368,0
AJP67426,0,Train,9.501451236696286e-05,0
AVV61900,1,Train,0.9460455450814784,1
AIV41795,1,Train,0.9132509914052763,1
QKN89963,0,Train,2.8228974886263863e-06,0
AGT51610,1,Train,0.9198029432385529,1
AGT51600,1,Train,0.993959975533191,1
KU973692,0,Train,0.00037662181257225866,0
AWH65888,1,Train,0.7108461203495348,1
DQ412606,1,Train,0.9901236741208738,1
AY687362,1,Train,0.9996362716594704,1
AJP67444,0,Train,0.0005002914207897851,0
ACT10887,0,Train,1.4148468599278816e-05,0
AKJ85723,0,Train,0.003042498913827952,0
ACJ35486,1,Train,0.22587505760033502,0
AKJ21749,0,Train,9.846414108458631e-05,0
KC881006,1,Train,0.9809737160063013,1
DQ412615,1,Train,0.999582545531082,1
QDZ36662,0,Train,0.00022240984362625996,0
AFD98827,1,Train,0.9834119297564018,1
ARE29990,1,Train,0.9981837878643771,1
AGT51380,1,Train,0.9957630054649258,1
AY648300,1,Train,0.9995844778702064,1
ANI85782,0,Train,7.748993218656348e-05,0
AKJ22091,0,Train,4.5807855763289675e-05,0
QBA57552,0,Train,0.00015354569764197958,0
AYR18467,0,Train,0.002033661910356518,0
AZL47234,0,Train,0.0001270231976140434,0
QJY77954,1,Train,0.9909268949639257,1
QEG03748,1,Train,0.9932053675837657,1
MT040333,1,Train,0.9919948928996354,1
QBO24657,0,Train,0.0002236727546075564,0
QFP92265,0,Train,7.758262161432293e-05,0
AEK25511,0,Train,9.057871291832514e-06,0
ALA49396,1,Train,0.9518496286514337,1
AID56865,0,Train,0.0001376180073442973,0
ASA40103,0,Train,0.000458048889592798,0
QCQ19912,0,Train,0.00033839157764481935,0
AYR18513,0,Train,0.00256011809188205,0
AHA38146,0,Train,0.00012445700379842755,0
AGT51570,1,Train,0.9947425734995156,1
AXX83345,1,Train,0.9963024929372818,1
AY613947,1,Train,0.999767477145523,1
AID56751,0,Train,0.00026002704768235695,0
ABP38313,0,Train,0.2808417091741335,0
ATG84701,1,Train,0.9501616565306042,1
AKH45338,0,Train,0.00027476177569938433,0
FJ882963,1,Train,0.9995775351421299,1
ANA67918,0,Train,0.00044581523602421527,0
ACT10937,0,Train,1.4320845917094695e-05,0
QEG03767,1,Train,0.9930920136029966,1
QHA24665,0,Train,0.4243355381560455,0
ASY91957,0,Train,0.0005203931416264196,0
FJ882931,1,Train,0.9996570711111573,1
AMD11130,0,Train,3.3501592052850756e-06,0
QDF43840,0,Train,0.0006023637814173118,0
AKJ21791,0,Train,0.00010903154406189561,0
QCQ19996,0,Train,0.0003376824743383453,0
QFG01706,0,Train,0.0005662493545432983,0
AGT51481,1,Train,0.9922969619266128,1
AZP03043,0,Train,0.0002624710625354971,0
YP_009824974,0,Train,0.00012222988231228772,0
ABC70719,1,Train,0.968446229349819,1
YP_001039971,0,Train,0.015014960410702724,0
QEY10649,1,Train,0.6457418403142449,1
QKV43751,0,Train,0.00021653762607219427,0
AQN78672,1,Train,0.9960492983726346,1
AY559097,1,Train,0.956770669382694,1
AID56901,0,Train,0.00016930845838067715,0
AID57021,0,Train,0.0001235048158349144,0
AY394986,1,Train,0.9995440985724674,1
ANI85794,0,Train,0.00010534918463653845,0
AGG55745,0,Train,0.00163304955144866,0
AFX81098,0,Train,5.750602999905177e-05,0
MG772933,0,Train,0.059118606761966265,0
QEG03785,1,Train,0.9952140550420837,1
ARE30008,1,Train,0.9985109270080796,1
ARK08679,1,Train,0.9957124359511447,1
QJY77946,1,Train,0.9960922058814139,1
AHA38132,0,Train,0.00016752841892402718,0
QCI31480,1,Train,0.95067870836231,1
AMD11219,0,Train,7.448565809157817e-06,0
ASU90527,1,Train,0.9386573421576563,1
AHY21469,1,Train,0.874291690154193,1
QBF80554,1,Train,0.9472847984437478,1
EU371564,1,Train,0.9990345465285673,1
ANA67908,0,Train,0.0002672004063655108,0
AMC39584,0,Train,9.495234769463058e-05,0
AMB66488,0,Train,0.00026164725747014487,0
QKV43829,0,Train,0.00011935188980576043,0
QEY10657,1,Train,0.8448791697570359,1
AIV41987,1,Train,0.9983228417126778,1
AGT51650,1,Train,0.9974851125539782,1
ASU90802,1,Train,0.9525783137951821,1
QKF94914,0,Train,0.0009493484638672731,0
MT072864,1,Train,0.9940824547691948,1
AKJ22085,0,Train,0.00013678458006717714,0
AGW27863,1,Train,0.9917282709002958,1
AID56703,0,Train,0.00032585262738761366,0
AFU92095,0,Train,0.0009262549917202225,0
AFH55121,0,Train,0.0004428929468602941,0
AY687355,1,Train,0.9997583250276413,1
AY572038,1,Train,0.9996841003624253,1
AVU05361,0,Train,0.000208880268017288,0
ACT11019,0,Train,0.12360200235422585,0
AFD98820,1,Train,0.9881628377542769,1
APX42119,0,Train,0.0003815861144462563,0
AIA62271,0,Train,0.0009134386563578438,0
ANC28667,1,Train,0.9457829909441402,1
KJ473811,0,Train,0.00046673474133984873,0
QCO95416,0,Train,8.430304504969139e-05,0
AY613952,1,Train,0.999662271471466,1
