Accession,Virus,Host_agg,Species_agg,vsWuhan,vsTor2,vsMers,vsOC43,vsHKU1,vs229E,vsNL63,MaxSim,Human,Source,Human_prob,Predicted
AY274119,SARS coronavirus Tor2,Homo sapiens,SARS-CoV-1,75.96,100.0,34.79,37.15,34.92,34.8,30.13,100.0,1,Train,0.8237746486095132,1
AY394987,SARS coronavirus HZS2-Fb,Homo sapiens,SARS-CoV-1,76.04,99.84,34.54,37.15,34.92,34.8,30.26,99.84,1,Train,0.7885619367944601,1
AY278741,SARS coronavirus Urbani,Homo sapiens,SARS-CoV-1,76.04,99.92,34.79,37.15,34.92,34.8,30.26,99.92,1,Train,0.7989222369764643,1
AY310120,SARS coronavirus FRA,Homo sapiens,SARS-CoV-1,75.96,99.84,34.89,37.02,34.79,34.8,30.13,99.84,1,Test,0.7679150203913206,1
JX163927,SARS coronavirus Tor2 isolate Tor2/FP1-10851,Minks,Sarbecovirus,75.96,99.92,34.79,37.15,34.92,34.8,29.89,99.92,0,Train,0.8237761956636301,1
AY714217,SARS Coronavirus CDC#200301157,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.29,34.92,34.8,30.11,99.84,1,Train,0.8036874086941919,1
DQ412578,SARS coronavirus isolate CUHKcs52UR spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,76.04,99.84,34.89,37.15,34.92,34.8,30.26,99.84,1,Train,0.6933590796814527,1
DQ412596,SARS coronavirus isolate CUHKtc14NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.7849755382296459,1
FJ882951,SARS coronavirus MA15 ExoN1 isolate P3pp3,Murine,Sarbecovirus,75.88,99.76,34.79,37.02,34.66,34.8,30.26,99.76,0,Train,0.7971149249798395,1
FJ882957,SARS coronavirus MA15,Murine,Sarbecovirus,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,0,Train,0.8058788767255678,1
