Accession,Slide,Human,Human_prob,Source
ATG31100,slide1,0,2.1025589845222166e-10,Train
ATG31100,slide2,0,0.04625325435792727,Train
ATG31100,slide3,0,8.590045678921895e-05,Train
AWM11480,slide1,0,1.4676311474274743e-07,Train
AWM11480,slide2,0,0.0022479786077835378,Train
AWM11480,slide3,0,1.0799306585396616e-05,Train
AML22777,slide1,0,0.00632022271645188,Train
AML22777,slide2,0,1.174410633551718e-08,Train
AML22777,slide3,0,8.839075930178307e-12,Train
QGJ03659,slide1,0,2.3256528117790327e-09,Train
QGJ03659,slide2,0,0.0005226697144452283,Train
QGJ03659,slide3,0,0.0004157439645292176,Train
NP_073551,slide1,1,0.3706409596974823,Train
NP_073551,slide2,1,0.8231137216795834,Train
NP_073551,slide3,1,0.6202671074224805,Train
QFG01688,slide1,0,7.603768150970026e-09,Train
QFG01688,slide2,0,0.13336408510177036,Train
QFG01688,slide3,0,1.886148027972685e-05,Train
QEO75985,slide1,1,0.7131220583564598,Train
QEO75985,slide2,1,0.6981658485475601,Train
QEO75985,slide3,1,0.8457976293898543,Train
QED88026,slide1,1,0.9122386474592485,Train
QED88026,slide2,1,0.964415683480217,Train
QED88026,slide3,1,0.9866932173480257,Train
QCW07226,slide1,0,1.824319905621353e-07,Train
QCW07226,slide2,0,0.0001199788561806077,Train
QCW07226,slide3,0,0.00020345374350344152,Train
AZU90731,slide1,1,0.5847992973621519,Train
AZU90731,slide2,1,0.6192165037611578,Train
AZU90731,slide3,1,0.5020037918771286,Train
AQN78704,slide1,1,0.9375345250926697,Train
AQN78704,slide2,1,0.9809685897581065,Train
AQN78704,slide3,1,0.9390881924615334,Train
AY613953,slide1,1,0.9999999547090703,Train
AY613953,slide2,1,0.9999995047836113,Train
AY613953,slide3,1,0.9999985820727534,Train
QKV43811,slide1,0,1.624119532856136e-07,Train
QKV43811,slide2,0,1.8658393333062376e-06,Train
QKV43811,slide3,0,0.004760660569468576,Train
ASR18938,slide1,0,7.866033873754555e-05,Train
ASR18938,slide2,0,1.6071389730091887e-07,Train
ASR18938,slide3,0,1.2866111324438026e-05,Train
AYR18513,slide1,0,0.0004211629997399142,Train
AYR18513,slide2,0,1.1235078634584962e-12,Train
AYR18513,slide3,0,8.843099603605771e-07,Train
ANA67922,slide1,0,1.095429043286845e-07,Train
ANA67922,slide2,0,0.004182000946838826,Train
ANA67922,slide3,0,5.724884620867919e-06,Train
AVU05424,slide1,0,7.910717866587802e-08,Train
AVU05424,slide2,0,0.001746436388799726,Train
AVU05424,slide3,0,3.786686663218193e-06,Train
QKV43781,slide1,0,1.7452545808552762e-07,Train
QKV43781,slide2,0,5.376229977055537e-06,Train
QKV43781,slide3,0,0.015216590332965104,Train
QCI31469,slide1,0,0.49865197810409967,Train
QCI31469,slide2,0,0.6137359604853673,Train
QCI31469,slide3,0,0.6398759158442392,Train
QCQ19966,slide1,0,2.6189893438133067e-07,Train
QCQ19966,slide2,0,0.004360767004846458,Train
QCQ19966,slide3,0,1.2096192544942814e-06,Train
AIR95864,slide1,0,1.328293320783778e-07,Train
AIR95864,slide2,0,2.762808407695176e-06,Train
AIR95864,slide3,0,0.03222272068386371,Train
AGT51650,slide1,1,0.9939924940167632,Train
AGT51650,slide2,1,0.9715394343099701,Train
AGT51650,slide3,1,0.9800790849040486,Train
AYR18461,slide1,0,0.0007306087699223142,Train
AYR18461,slide2,0,2.439806880081894e-08,Train
AYR18461,slide3,0,0.003173579054822764,Train
AIY60528,slide1,1,0.6642337775267245,Train
AIY60528,slide2,1,0.43681919059097435,Train
AIY60528,slide3,1,0.48616440353741275,Train
AIA62220,slide1,0,0.008362624563372546,Train
AIA62220,slide2,0,1.3963929917966194e-06,Train
AIA62220,slide3,0,1.4712649288650009e-06,Train
QKN89963,slide1,0,4.183248212517069e-06,Train
QKN89963,slide2,0,0.008933856567617563,Train
QKN89963,slide3,0,4.746184305148235e-10,Train
DQ084199,slide1,0,0.17130886347552232,Train
DQ084199,slide2,0,0.00013165818287251923,Train
DQ084199,slide3,0,0.0010748493241264307,Train
DQ412042,slide1,0,0.0028343951110232682,Train
DQ412042,slide2,0,0.09715754290149667,Train
DQ412042,slide3,0,1.9865531748352328e-05,Train
ACJ35486,slide1,1,0.1248775149064422,Train
ACJ35486,slide2,1,0.18235444283908928,Train
ACJ35486,slide3,1,0.10263668949123836,Train
FJ882929,slide1,1,0.5165214883802045,Train
FJ882929,slide2,1,0.5539898816202726,Train
FJ882929,slide3,1,0.7210778508912359,Train
AKJ21947,slide1,0,9.712090470656752e-08,Train
AKJ21947,slide2,0,0.002427709049932648,Train
AKJ21947,slide3,0,1.8046682580693577e-06,Train
QEG03748,slide1,1,0.9980524827632499,Train
QEG03748,slide2,1,0.8271077021560467,Train
QEG03748,slide3,1,0.7964933270043539,Train
AIJ19445,slide1,0,1.2992871566532339e-07,Train
AIJ19445,slide2,0,0.0026359570143343726,Train
AIJ19445,slide3,0,3.9538284184961865e-06,Train
AGV08379,slide1,1,0.5780955138557198,Train
AGV08379,slide2,1,0.6121995891375742,Train
AGV08379,slide3,1,0.4501265301870671,Train
AFU35753,slide1,0,9.056364677997593e-08,Train
AFU35753,slide2,0,0.005162026609334238,Train
AFU35753,slide3,0,2.1930929442969304e-06,Train
ANI85746,slide1,0,8.368059159030531e-08,Train
ANI85746,slide2,0,0.0023916082416934495,Train
ANI85746,slide3,0,3.4752152932423866e-06,Train
AY687359,slide1,0,0.6024962845023564,Train
AY687359,slide2,0,0.47904270543780714,Train
AY687359,slide3,0,0.4349508778719336,Train
ATG31094,slide1,0,3.8780542913040895e-07,Train
ATG31094,slide2,0,0.005007710718102675,Train
ATG31094,slide3,0,1.3109775563253034e-06,Train
APQ31244,slide1,0,0.00691781287757031,Train
APQ31244,slide2,0,1.2764579495289688e-08,Train
APQ31244,slide3,0,7.33583991252389e-12,Train
ASA40097,slide1,0,6.930072307443901e-07,Train
ASA40097,slide2,0,2.504019867634448e-07,Train
ASA40097,slide3,0,0.0064346304303380545,Train
AKJ21761,slide1,0,5.1675989880488775e-08,Train
AKJ21761,slide2,0,0.0011143870000006393,Train
AKJ21761,slide3,0,2.4086099095923652e-06,Train
AFV46344,slide1,0,9.161130301616774e-08,Train
AFV46344,slide2,0,0.0027910950355461233,Train
AFV46344,slide3,0,3.636743248974818e-06,Train
ANA67918,slide1,0,1.3494359244638676e-07,Train
ANA67918,slide2,0,0.0009870053769779695,Train
ANA67918,slide3,0,1.5878540379974305e-06,Train
ARE29961,slide1,1,0.9334150955441689,Train
ARE29961,slide2,1,0.9671067881036596,Train
ARE29961,slide3,1,0.9882380722929084,Train
ARJ54146,slide1,0,6.614696975231924e-08,Train
ARJ54146,slide2,0,0.0028634088341708886,Train
ARJ54146,slide3,0,4.390398064096449e-06,Train
ARB07438,slide1,1,0.17825326291110913,Train
ARB07438,slide2,1,0.9987714361585788,Train
ARB07438,slide3,1,0.9975223303302255,Train
AFG25760,slide1,0,0.05439377187655739,Train
AFG25760,slide2,0,0.0013743431728043948,Train
AFG25760,slide3,0,0.00010715935841487559,Train
ANI85758,slide1,0,7.891710358218705e-08,Train
ANI85758,slide2,0,0.001651361498581338,Train
ANI85758,slide3,0,3.042118651125749e-06,Train
AFD98820,slide1,1,0.9571851863965615,Train
AFD98820,slide2,1,0.9700843969647749,Train
AFD98820,slide3,1,0.9850985163324937,Train
ATN39872,slide1,1,0.9955928524906801,Train
ATN39872,slide2,1,0.7535048749545735,Train
ATN39872,slide3,1,0.999274888236916,Train
ACT10876,slide1,0,2.9229538655076306e-14,Train
ACT10876,slide2,0,1.5958050468986832e-11,Train
ACT10876,slide3,0,0.0014805912299924384,Train
QHQ97044,slide1,0,2.0785718500586313e-05,Train
QHQ97044,slide2,0,9.313124332686059e-05,Train
QHQ97044,slide3,0,3.827751854346943e-06,Train
AFV09314,slide1,0,3.6243160023107238e-09,Train
AFV09314,slide2,0,0.0002621319669574975,Train
AFV09314,slide3,0,0.0002279176053616905,Train
AYR18448,slide1,0,0.045294496776077095,Train
AYR18448,slide2,0,0.0011169755900214367,Train
AYR18448,slide3,0,4.5639452120918295e-08,Train
AGG55737,slide1,0,4.074352544962301e-08,Train
AGG55737,slide2,0,0.0029750225649365137,Train
AGG55737,slide3,0,2.0722261424956265e-06,Train
ANA67913,slide1,0,6.89943706918972e-08,Train
ANA67913,slide2,0,0.0024655889017676782,Train
ANA67913,slide3,0,3.866666842994082e-06,Train
ACT10887,slide1,0,1.2787126418732694e-05,Train
ACT10887,slide2,0,3.4617204099384286e-12,Train
ACT10887,slide3,0,5.8964211135491e-12,Train
AID56679,slide1,0,6.484324368148242e-08,Train
AID56679,slide2,0,0.001625518758176678,Train
AID56679,slide3,0,3.033207046803597e-06,Train
AIN52112,slide1,0,6.73612278900355e-08,Train
AIN52112,slide2,0,0.0023795666424886175,Train
AIN52112,slide3,0,2.9113063999156363e-06,Train
ACJ66990,slide1,0,0.07616266263234299,Train
ACJ66990,slide2,0,0.11063605877235788,Train
ACJ66990,slide3,0,0.1300736827336525,Train
ABN10848,slide1,0,0.22627258121354576,Train
ABN10848,slide2,0,2.2254960024588276e-05,Train
ABN10848,slide3,0,0.00019952885745260944,Train
QDP16195,slide1,1,0.520075679682884,Train
QDP16195,slide2,1,0.4281662529787877,Train
QDP16195,slide3,1,0.5186154101460981,Train
AKJ21881,slide1,0,6.501826040656573e-08,Train
AKJ21881,slide2,0,0.0029077756488654367,Train
AKJ21881,slide3,0,5.005252737675998e-06,Train
JX162087,slide1,1,0.604028256189861,Train
JX162087,slide2,1,0.6368313915955724,Train
JX162087,slide3,1,0.7899894689815125,Train
ATG84910,slide1,1,0.6194840949816824,Train
ATG84910,slide2,1,0.5102830511245038,Train
ATG84910,slide3,1,0.6327295024930429,Train
AYR18505,slide1,0,0.0004475793668932814,Train
AYR18505,slide2,0,1.671157821402027e-12,Train
AYR18505,slide3,0,3.937897523608609e-06,Train
AMD11130,slide1,0,1.5281247445175022e-06,Train
AMD11130,slide2,0,4.211523157036881e-16,Train
AMD11130,slide3,0,5.610329919479043e-10,Train
ASU45730,slide1,1,0.6261515139410129,Train
ASU45730,slide2,1,0.4264379048373167,Train
ASU45730,slide3,1,0.6210575357009166,Train
AGT51501,slide1,1,0.9933955816655095,Train
AGT51501,slide2,1,0.9645355976568802,Train
AGT51501,slide3,1,0.9800831474043652,Train
APF29071,slide1,1,0.9439170183617009,Train
APF29071,slide2,1,0.9812529943079811,Train
APF29071,slide3,1,0.984301346311144,Train
AHX00711,slide1,0,0.662264409772932,Train
AHX00711,slide2,0,0.561555911163453,Train
AHX00711,slide3,0,0.532482859348273,Train
AKJ21839,slide1,0,6.751704652492947e-08,Train
AKJ21839,slide2,0,0.002569468826573027,Train
AKJ21839,slide3,0,4.294592844621428e-06,Train
AY394992,slide1,1,0.5404615434905353,Train
AY394992,slide2,1,0.7185156190540419,Train
AY394992,slide3,1,0.7048600751275407,Train
KF569996,slide1,0,0.1700824124783528,Train
KF569996,slide2,0,0.0019348275551310948,Train
KF569996,slide3,0,0.08888892567423812,Train
ACJ66946,slide1,0,0.12235497570501504,Train
ACJ66946,slide2,0,0.1060008127983266,Train
ACJ66946,slide3,0,0.11188636027929479,Train
DQ412622,slide1,1,0.9548411550882089,Train
DQ412622,slide2,1,0.9330094574052145,Train
DQ412622,slide3,1,0.9563317470372436,Train
QGA70692,slide1,0,0.012658094122626314,Train
QGA70692,slide2,0,0.02476662749096912,Train
QGA70692,slide3,0,2.914026391510322e-05,Train
AYR18591,slide1,0,0.00030753979131992756,Train
AYR18591,slide2,0,6.976039978939681e-13,Train
AYR18591,slide3,0,3.702601636197873e-08,Train
QCQ19888,slide1,0,1.0118083332352983e-07,Train
QCQ19888,slide2,0,0.0014831020155865807,Train
QCQ19888,slide3,0,2.0238146772498372e-06,Train
QDF43805,slide1,0,0.02728987845081381,Train
QDF43805,slide2,0,1.053271842051329e-06,Train
QDF43805,slide3,0,2.2930923110923874e-05,Train
MT782114,slide1,0,0.6765168508461382,Train
MT782114,slide2,0,0.06407938865402833,Train
MT782114,slide3,0,0.0008854430654645885,Train
ABN10866,slide1,0,0.13193711576947104,Train
ABN10866,slide2,0,7.758359390553685e-06,Train
ABN10866,slide3,0,0.00021442571421043948,Train
ARB07406,slide1,1,0.9311660276808672,Train
ARB07406,slide2,1,0.9611411726574414,Train
ARB07406,slide3,1,0.9824874886921382,Train
QCO95428,slide1,0,2.0599342021315244e-08,Train
QCO95428,slide2,0,0.0008913274850294397,Train
QCO95428,slide3,0,7.5336352980739715e-06,Train
QLH02028,slide1,0,1.212334258870334e-08,Train
