Accession,Binds,Source,Binds_prob,Binds_predicted
AGG55737,0,Train,5.136983333034051e-05,0
AY613953,1,Train,0.9991304679453007,1
ARB07599,1,Train,0.9898475779441,1
AB257344,1,Train,0.9997782054033325,1
AB263618,1,Train,0.9998084972204044,1
QEG03757,1,Train,0.9974282321885453,1
AIY60528,1,Train,0.9509790285473388,1
ATG84767,1,Train,0.9427949027280728,1
AKJ21959,0,Train,0.0001663027553358678,0
AZU90731,1,Train,0.9655867185700093,1
ATG84679,1,Train,0.9659039544130797,1
AKP80596,0,Train,0.00017072053581850495,0
AGT51461,1,Train,0.9097104348389914,1
ATG31100,0,Train,0.0003478236386169297,0
QCQ20050,0,Train,0.0009122617224158199,0
ASU91208,1,Train,0.9676362792042409,1
AKJ22121,0,Train,0.00017946684882789781,0
APQ31244,0,Train,0.0006203327381668271,0
AWM11456,0,Train,0.0006914476467866712,0
AVU05494,0,Train,9.876076807668393e-05,0
QCO95422,0,Train,0.00033065236465295553,0
ARE29961,1,Train,0.9867256149260833,1
AKJ22013,0,Train,0.00014785255908460405,0
QCO95428,0,Train,0.00032292395423825533,0
QBF80532,1,Train,0.9456521898431614,1
ART84250,0,Train,0.0020028510893649837,0
AZL47228,0,Train,0.00019274760095302487,0
DQ514531,1,Train,0.9999391247871309,1
AST12964,1,Train,0.9814290917934189,1
ABN10848,1,Train,0.8289849606551143,1
ADO39828,0,Train,0.0004457450103649379,0
AWQ28488,0,Train,0.000545683242129848,0
AVK87318,1,Train,0.92185320912581,1
AKJ21941,0,Train,0.00012602552111619188,0
QDF43805,0,Train,0.011050689025011154,0
DQ412628,1,Train,0.9998429944473107,1
QCQ19816,0,Train,0.00014605060604241127,0
ARB07406,1,Train,0.9846151673068078,1
ACT10927,0,Train,5.429992917135769e-07,0
AKJ21755,0,Train,0.00014132507898247733,0
AYR18448,0,Train,0.005901257824977805,0
ACN89743,0,Train,0.00022951888179259457,0
AQY61719,0,Train,0.002379845106048666,0
AY559089,1,Train,0.9896303367835717,1
AHL38184,0,Train,0.0010286879123701147,0
ATG84877,1,Train,0.9261191732557404,1
QBF80565,1,Train,0.9277328937381889,1
YP_001718605,0,Train,0.00018214321756843905,0
AFE48827,0,Train,0.04019894300027755,0
AFG25760,0,Train,0.002699039297948789,0
AID56715,0,Train,0.0001160938344399657,0
ADN03339,1,Train,0.9955596249143149,1
ALM31938,0,Train,0.00017273063346805487,0
AIN52130,0,Train,0.00015672868313455174,0
AYR18430,0,Train,9.811263963192124e-05,0
ADO39839,0,Train,0.00010256309581609982,0
AHI48517,1,Train,0.9368292007354017,1
AZP53858,0,Train,0.0016855831928604614,0
AQK38168,0,Train,0.00015089824969901223,0
AYR18400,0,Train,0.0002437312087359147,0
AID56691,0,Train,0.00014219144900192994,0
AWM11474,0,Train,0.0005121360204166574,0
AY304489,1,Train,0.9997393413707758,1
GQ153548,0,Train,0.0035113891895492883,0
QER78627,0,Train,0.0008395065239642695,0
ALF39589,0,Train,0.00024033737041777756,0
QCQ20044,0,Train,0.0009654029831135889,0
AFB74179,0,Train,0.00014004483020040715,0
ATQ39390,0,Train,0.004275936575044377,0
QED88040,1,Train,0.9902157484981049,1
AHC03502,0,Train,0.0001129512331154957,0
MK211376,1,Train,0.93040250686883,1
AKN24803,1,Train,0.9236373176086756,1
ALA50256,1,Train,0.9920646184881452,1
AYR18567,0,Train,4.062285370591391e-05,0
AJP67426,0,Train,6.770052231432243e-05,0
AVV61900,1,Train,0.9652198397862873,1
AIV41795,1,Train,0.9467437621384087,1
AGT51610,1,Train,0.920212138062495,1
AGT51600,1,Train,0.9975924521106283,1
KU973692,0,Train,0.0010451663255917132,0
DQ412606,1,Train,0.9993767562652562,1
AY687362,1,Train,0.9997941315798065,1
AJP67444,0,Train,0.0005384641758590704,0
ACT10887,0,Train,0.001117245971914012,0
AKJ85723,0,Train,0.003339918343129695,0
ACJ35486,1,Train,0.25867576131836273,0
AKJ21749,0,Train,6.913170314425212e-05,0
KC881006,1,Train,0.967667346045419,1
DQ412615,1,Train,0.9998738099118324,1
QDZ36662,0,Train,8.580848815802843e-05,0
AFD98827,1,Train,0.9864662483447093,1
ARE29990,1,Train,0.9995142989343392,1
AGT51380,1,Train,0.994416170786115,1
AY648300,1,Train,0.9998045321479734,1
ANI85782,0,Train,0.00018334110904744816,0
AKJ22091,0,Train,6.872233906299836e-05,0
QBA57552,0,Train,8.231801481950263e-05,0
AYR18467,0,Train,0.00016142324728117256,0
AZL47234,0,Train,0.000783474002881235,0
QEG03748,1,Train,0.9890965246405375,1
QBO24657,0,Train,0.00026717803419515937,0
QFP92265,0,Train,6.912956021236941e-05,0
AEK25511,0,Train,8.977008977707914e-05,0
ALA49396,1,Train,0.9571261688288233,1
AID56865,0,Train,0.00011913660197809746,0
ASA40103,0,Train,0.0001479251797933224,0
QCQ19912,0,Train,0.0005515991534496631,0
AYR18513,0,Train,1.539233018556736e-05,0
AHA38146,0,Train,0.0002058348589839675,0
AGT51570,1,Train,0.9961319373560771,1
AXX83345,1,Train,0.9983682293489733,1
AY613947,1,Train,0.9999314606501397,1
AID56751,0,Train,0.0008679237800918433,0
ABP38313,0,Train,0.31962195997249465,0
ATG84701,1,Train,0.9538957582823443,1
AKH45338,0,Train,0.0002949838331487061,0
FJ882963,1,Train,0.9998779256088558,1
ANA67918,0,Train,0.00041114810647341414,0
ACT10937,0,Train,0.0015850397766748762,0
QEG03767,1,Train,0.9954758901847205,1
QHA24665,0,Train,0.30705714602233847,0
ASY91957,0,Train,0.00017135875774455277,0
FJ882931,1,Train,0.9998596516806005,1
AMD11130,0,Train,8.129861878828813e-05,0
QDF43840,0,Train,2.4223407708519415e-06,0
AKJ21791,0,Train,0.00010163764184738666,0
QCQ19996,0,Train,0.0002933247724854567,0
QFG01706,0,Train,0.00019994302903525047,0
AGT51481,1,Train,0.9966762751733613,1
AZP03043,0,Train,8.457470835380363e-05,0
ABC70719,1,Train,0.985778750218578,1
YP_001039971,0,Train,0.010522931985399714,0
QEY10649,1,Train,0.47493534998973097,0
AQN78672,1,Train,0.998874571913166,1
AY559097,1,Train,0.9997066704163328,1
AID56901,0,Train,0.00012406856743475944,0
AID57021,0,Train,0.00013041380033093985,0
AY394986,1,Train,0.9998097789174807,1
ANI85794,0,Train,0.00024989944105628875,0
AGG55745,0,Train,0.0017694749735574305,0
AFX81098,0,Train,5.113805935570167e-05,0
MG772933,0,Train,0.030473983580626116,0
QEG03785,1,Train,0.9957992795324772,1
ARE30008,1,Train,0.9997749686212702,1
ARK08679,1,Train,0.9979862483567219,1
AHA38132,0,Train,0.00010812712488807688,0
QCI31480,1,Train,0.9477717605492723,1
AMD11219,0,Train,0.00010343463772198114,0
ASU90527,1,Train,0.9370801717149211,1
AHY21469,1,Train,0.8579077461787014,1
QBF80554,1,Train,0.960349276055072,1
EU371564,1,Train,0.9997188266877055,1
ANA67908,0,Train,0.000640883081180416,0
AMC39584,0,Train,0.00013517983192927455,0
AMB66488,0,Train,0.00014679171686930495,0
QEY10657,1,Train,0.729720848091336,1
AIV41987,1,Train,0.9995667612311131,1
AGT51650,1,Train,0.9986649412801241,1
ASU90802,1,Train,0.9517294587337793,1
