Accession,Virus,Host_agg,Species_agg,vsWuhan,vsTor2,vsMers,vsOC43,vsHKU1,vs229E,vsNL63,MaxSim,Binds,Source,Binds_prob,Binds_predicted
AY274119,SARS coronavirus Tor2,Homo sapiens,SARS-CoV-1,75.96,100.0,34.79,37.15,34.92,34.8,30.13,100.0,1,Train,0.9514915730210208,1
AY394987,SARS coronavirus HZS2-Fb,Homo sapiens,SARS-CoV-1,76.04,99.84,34.54,37.15,34.92,34.8,30.26,99.84,1,Train,0.9616559725958864,1
AY278741,SARS coronavirus Urbani,Homo sapiens,SARS-CoV-1,76.04,99.92,34.79,37.15,34.92,34.8,30.26,99.92,1,Train,0.958455885911716,1
AY310120,SARS coronavirus FRA,Homo sapiens,SARS-CoV-1,75.96,99.84,34.89,37.02,34.79,34.8,30.13,99.84,1,Train,0.9442935523674272,1
JX163927,SARS coronavirus Tor2 isolate Tor2/FP1-10851,Minks,Sarbecovirus,75.96,99.92,34.79,37.15,34.92,34.8,29.89,99.92,1,Test,0.9514441196388842,1
AY714217,SARS Coronavirus CDC#200301157,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.29,34.92,34.8,30.11,99.84,1,Train,0.9626825202532386,1
DQ412578,SARS coronavirus isolate CUHKcs52UR spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,76.04,99.84,34.89,37.15,34.92,34.8,30.26,99.84,1,Train,0.9557216055422992,1
DQ412596,SARS coronavirus isolate CUHKtc14NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9544887925544772,1
FJ882951,SARS coronavirus MA15 ExoN1 isolate P3pp3,Murine,Sarbecovirus,75.88,99.76,34.79,37.02,34.66,34.8,30.26,99.76,0,Test,0.9486230542234614,1
FJ882957,SARS coronavirus MA15,Murine,Sarbecovirus,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,0,Train,0.953234926859392,1
AY278554,SARS coronavirus CUHK-W1,Homo sapiens,SARS-CoV-1,76.12,99.76,34.54,37.15,34.92,34.8,30.26,99.76,1,Train,0.9643428911709,1
FJ882931,SARS coronavirus ExoN1 isolate P3pp12,Homo sapiens,SARS-CoV-1,76.12,99.84,34.79,37.15,34.92,34.97,30.38,99.84,1,Train,0.9647089186479372,1
AY394978,SARS coronavirus GZ-B,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9574927854496348,1
DQ412588,SARS coronavirus isolate CUHKtc04NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,75.96,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.952400852131548,1
AY485277,SARS coronavirus Sino1-11,Homo sapiens,SARS-CoV-1,76.04,99.84,34.35,37.15,34.92,34.8,30.26,99.84,1,Train,0.9408794326396664,1
GU553363,SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001,Homo sapiens,SARS-CoV-1,75.96,99.84,34.89,37.15,34.92,34.97,30.26,99.84,1,Test,0.9516340199427432,1
DQ412594,SARS coronavirus isolate CUHKtc10NP spike glycoprotein (S) gene,Homo sapiens,SARS-CoV-1,77.04,99.84,34.79,37.15,34.92,34.8,30.26,99.84,1,Train,0.9604763025730794,1
FJ882949,SARS coronavirus wtic-MB isolate P3pp23,Homo sapiens,SARS-CoV-1,75.96,99.84,34.7,37.15,34.92,34.8,30.26,99.84,1,Train,0.948132197598201,1
AY394979,SARS coronavirus GZ-C,Homo sapiens,SARS-CoV-1,75.88,99.76,34.89,37.29,35.05,34.97,30.38,99.76,1,Train,0.941167074141634,1
AY394999,SARS coronavirus LC2,Homo sapiens,SARS-CoV-1,75.96,99.84,34.7,37.15,34.92,34.8,30.17,99.84,1,Train,0.9557205651660023,1
