Accession,Binds,Source,Binds_prob,Binds_predicted
AIV41843,1,Train,0.9998872810406889,1
AIV41819,1,Train,0.99980228730528,1
AYR18625,0,Train,0.011642389000855883,0
QHQ97044,0,Train,0.0001177910858005965,0
ADO39839,0,Train,1.2765989078867937e-05,0
AKJ21875,0,Train,4.7334925779911564e-05,0
AKO90055,0,Train,8.974710913195321e-05,0
AGT51800,1,Train,0.9989564778809412,1
AFD98757,1,Train,0.9965245414685309,1
AZU90731,1,Train,0.9515294922957535,1
AKN24803,1,Train,0.9177142979971099,1
ALA50256,1,Train,0.982899782940397,1
QCQ20014,0,Train,7.168582885829082e-05,0
QJY77970,1,Train,0.9893899453465468,1
QER78627,0,Train,0.00017389327828818137,0
ADN03339,1,Train,0.9992856640965251,1
ABD75617,1,Train,0.928420953700597,1
DQ412609,1,Train,0.9390673438460794,1
ACJ35486,1,Train,0.2087472431799187,0
QCQ19870,0,Train,5.21867234330896e-05,0
ALM09364,0,Train,6.489569757330226e-05,0
ANA67913,0,Train,2.9480604522918654e-05,0
AGT51570,1,Train,0.9954699975500891,1
AKJ21923,0,Train,4.595507266425413e-05,0
AKJ22103,0,Train,7.87558653373199e-05,0
ARM65496,0,Train,5.340495085366392e-05,0
AZP53858,0,Train,0.0001788617992662839,0
ALA49341,1,Train,0.9381294779088715,1
AFG25760,0,Train,0.0007058792329035672,0
AY278490,1,Train,0.9487219624837143,1
AYR18519,0,Train,0.04532956249510785,0
ABD75553,1,Train,0.9989932564859828,1
AIV41873,1,Train,0.9993965768191366,1
AST13215,0,Train,4.646682678112761e-05,0
AID56937,0,Train,4.75783979834564e-05,0
QCQ20050,0,Train,0.00013024696088793485,0
ASU62488,0,Train,1.563617876603093e-05,0
AKJ22085,0,Train,3.0899926194079856e-05,0
AYR18400,0,Train,9.94057337941199e-07,0
ATG84701,1,Train,0.9491605426016649,1
AKJ21767,0,Train,3.5719139978815026e-05,0
ABC72414,0,Train,0.0006574920606682495,0
ABN10848,1,Train,0.870716874109224,1
ACN89743,0,Train,0.0014448963103116715,0
AKJ21833,0,Train,0.00010481941642772031,0
QEG03785,1,Train,0.9953811560195597,1
AFE48827,0,Train,0.05591782981660718,0
QGQ60228,0,Train,5.4987972960681946e-05,0
AKJ22127,0,Train,4.489588201267867e-05,0
ALA49660,1,Train,0.9396917607108608,1
QBR98161,0,Train,1.1453137163143223e-05,0
AKJ21791,0,Train,6.784455567997173e-05,0
QNS31084,0,Train,2.4285100700009768e-05,0
AKJ21953,0,Train,5.745688550936297e-05,0
AVU05354,0,Train,4.654036981552163e-05,0
