Accession,Binds,Source,Binds_prob,Binds_predicted
AGG55737,0,Train,4.176177622725829e-05,0
AY613953,1,Train,0.9999960164734559,1
ARB07599,1,Train,0.9824170427600435,1
AB257344,1,Train,0.9996745490420527,1
AB263618,1,Train,0.9996420483838897,1
QEG03757,1,Train,0.9957377724240748,1
AIY60528,1,Train,0.9999214483893752,1
ATG84767,1,Train,0.9999302236078107,1
AKJ21959,0,Train,0.00013822411290326505,0
AZU90731,1,Train,0.9999507861751592,1
ATG84679,1,Train,0.9999421529251477,1
AKP80596,0,Train,9.684435689113443e-05,0
AGT51461,1,Train,0.8996677294142423,1
ATG31100,0,Train,0.00010791205402480326,0
QCQ20050,0,Train,0.000631934945095635,0
ASU91208,1,Train,0.9999516755195083,1
AKJ22121,0,Train,0.00012916011596716454,0
APQ31244,0,Train,0.0003814266680039545,0
AWM11456,0,Train,0.00012117449549887354,0
AVU05494,0,Train,8.763560918521641e-05,0
QOV05164,0,Train,0.11116351497005887,0
QCO95422,0,Train,0.00014344028871316898,0
ARE29961,1,Train,0.9932903964406925,1
AKJ22013,0,Train,8.488862469060047e-05,0
QCO95428,0,Train,9.912814954164957e-05,0
QBF80532,1,Train,0.9999322399524921,1
ART84250,0,Train,0.0011464046529045338,0
AZL47228,0,Train,0.00010521853135744141,0
DQ514531,1,Train,0.999678688799471,1
AST12964,1,Train,0.9918641204557275,1
ABN10848,1,Train,0.8804333858293774,1
ADO39828,0,Train,0.00010744451231702354,0
AWQ28488,0,Train,0.0002626533948836309,0
YP_009824967,0,Train,0.026745915649715,0
AVK87318,1,Train,0.9999315485247142,1
AKJ21941,0,Train,9.551753084849618e-05,0
QDF43805,0,Train,0.0039787847181281975,0
DQ412628,1,Train,0.9995598770343184,1
QCQ19816,0,Train,9.00654163530208e-05,0
ARB07406,1,Train,0.9907764376697477,1
ACT10927,0,Train,0.0002050140094005463,0
AKJ21755,0,Train,8.711036875858374e-05,0
QKV43817,0,Train,0.0001085194165929246,0
AYR18448,0,Train,0.003184787589550637,0
ACN89743,0,Train,0.0014281827411091856,0
AQY61719,0,Train,6.701072219150282e-05,0
AY559089,1,Train,0.9779742805718674,1
AHL38184,0,Train,9.02150836212172e-05,0
ATG84877,1,Train,0.9999104900860248,1
QBF80565,1,Train,0.9999239051113843,1
YP_001718605,0,Train,0.0033091386347232888,0
QGQ60312,0,Train,7.33174160766742e-05,0
AFE48827,0,Train,0.12067945100848514,0
AFG25760,0,Train,0.0007825102647504949,0
AID56715,0,Train,8.431471704490578e-05,0
ADN03339,1,Train,0.985079873539515,1
ALM31938,0,Train,7.31146278406718e-05,0
AIN52130,0,Train,8.390343981832412e-05,0
AYR18430,0,Train,0.0012138191831175798,0
ADO39839,0,Train,7.939111472661586e-05,0
AHI48517,1,Train,0.9999170333197026,1
AZP53858,0,Train,0.0010362522005531733,0
AQK38168,0,Train,0.0001258732848031606,0
AYR18400,0,Train,0.0034177051962289294,0
AID56691,0,Train,8.925833829843903e-05,0
AWM11474,0,Train,0.00020963568928446653,0
AY304489,1,Train,0.9992224280540918,1
GQ153548,1,Train,0.3124099018763306,0
QER78627,0,Train,0.0005689959097128818,0
ALF39589,0,Train,0.00036780476207575613,0
QCQ20044,0,Train,0.0006008157103896069,0
AFB74179,0,Train,0.00017497688395256327,0
ATQ39390,1,Train,0.8625821645091375,1
QED88040,1,Train,0.9896220499770603,1
AHC03502,0,Train,9.422771724507458e-05,0
MK211376,1,Train,0.9303127072091862,1
AKN24803,1,Train,0.9999275055400729,1
ALA50256,1,Train,0.9964109288088357,1
AYR18567,0,Train,0.0006696646109342866,0
AJP67426,0,Train,7.103430709248521e-05,0
AVV61900,1,Train,0.9999304762494341,1
AIV41795,1,Train,0.9589532436332581,1
QKN89963,0,Train,0.0006029193292449537,0
AGT51610,1,Train,0.9015700955719846,1
AGT51600,1,Train,0.9959620370641712,1
KU973692,0,Train,0.025079786287683686,0
AWH65888,1,Train,0.7453121372605124,1
DQ412606,1,Train,0.9835978395272953,1
AY687362,1,Train,0.9992103879763444,1
AJP67444,0,Train,0.00013525672123368272,0
ACT10887,0,Train,0.0002074323644287549,0
AKJ85723,0,Train,0.0017853661109668503,0
ACJ35486,1,Train,0.17322783578778758,0
AKJ21749,0,Train,8.822447984755789e-05,0
KC881006,1,Train,0.9737572842067804,1
DQ412615,1,Train,0.9995873016554214,1
QDZ36662,0,Train,0.00011046220611265204,0
AFD98827,1,Train,0.9904574573765887,1
ARE29990,1,Train,0.9989388054430082,1
AGT51380,1,Train,0.9941626100968812,1
AY648300,1,Train,0.9997072133076487,1
ANI85782,0,Train,6.000580222647945e-05,0
AKJ22091,0,Train,4.1417631280894915e-05,0
QBA57552,0,Train,7.934745353917526e-05,0
AYR18467,0,Train,0.001149060478659144,0
AZL47234,0,Train,4.648186510538455e-05,0
QJY77954,1,Train,0.9947384156539864,1
QEG03748,1,Train,0.9942590887988341,1
MT040333,1,Train,0.9648492897494827,1
QBO24657,0,Train,9.195995188871433e-05,0
QFP92265,0,Train,5.157263699323135e-05,0
AEK25511,0,Train,5.7359349477921914e-05,0
ALA49396,1,Train,0.9999436589093416,1
AID56865,0,Train,7.938886766630464e-05,0
ASA40103,0,Train,0.0002021836280501355,0
QCQ19912,0,Train,0.0002763854213507767,0
AYR18513,0,Train,0.0022685820493392257,0
AHA38146,0,Train,8.236300255827816e-05,0
AGT51570,1,Train,0.9946918882200001,1
AXX83345,1,Train,0.9970737463797164,1
AY613947,1,Train,0.9995139912188825,1
AID56751,0,Train,7.207282197217014e-05,0
ABP38313,0,Train,0.16029003157739097,0
ATG84701,1,Train,0.9999282341171334,1
AKH45338,0,Train,0.0007640919061355833,0
FJ882963,1,Train,0.9996315375052458,1
ANA67918,0,Train,0.0005391812453217838,0
ACT10937,0,Train,0.00011471377201774822,0
QEG03767,1,Train,0.9930066551575122,1
QHA24665,0,Train,0.2107367703597911,0
ASY91957,0,Train,0.00014689328768067254,0
FJ882931,1,Train,0.9996582893289825,1
AMD11130,0,Train,0.00014966014599716908,0
QDF43840,0,Train,0.0023502929431670812,0
AKJ21791,0,Train,0.0001129058865550481,0
QCQ19996,0,Train,0.0004022272807854218,0
QFG01706,0,Train,0.0003564785197855994,0
AGT51481,1,Train,0.995034520190824,1
AZP03043,0,Train,7.321801740020124e-05,0
YP_009824974,0,Train,0.013554516615512779,0
ABC70719,1,Train,0.9804028612021961,1
YP_001039971,0,Train,0.008315144177185856,0
QEY10649,1,Train,0.537981367695986,1
QKV43751,0,Train,6.991385491919965e-05,0
AQN78672,1,Train,0.997504778489792,1
AY559097,1,Train,0.9904533952727593,1
AID56901,0,Train,6.852566921374053e-05,0
AID57021,0,Train,9.585466808523139e-05,0
AY394986,1,Train,0.999381111124872,1
ANI85794,0,Train,8.394092037765882e-05,0
AGG55745,0,Train,0.0008991244237808226,0
AFX81098,0,Train,0.0002531771910083025,0
MG772933,0,Train,0.17399124721232512,0
QEG03785,1,Train,0.9949808712552484,1
ARE30008,1,Train,0.9991160087515295,1
