Accession,Binds,Source,Binds_prob,Binds_predicted
AGG55737,0,Train,0.000199564692037514,0
AY613953,1,Train,0.9015973272953424,1
ARB07599,1,Train,0.9859704149416466,1
AB257344,1,Train,0.9697859623836945,1
AB263618,1,Train,0.9456323485150553,1
QEG03757,1,Train,0.9965923586806289,1
AIY60528,1,Train,0.9475318792832247,1
ATG84767,1,Train,0.9374167409047968,1
AKJ21959,0,Train,0.00031332882979152887,0
AZU90731,1,Train,0.9540315831973638,1
ATG84679,1,Train,0.9619451210305787,1
AKP80596,0,Train,0.00030836711712564174,0
AGT51461,1,Train,0.9044105453356993,1
ATG31100,0,Train,0.0007162945577416033,0
QCQ20050,0,Train,0.0004703316055920314,0
ASU91208,1,Train,0.9662026221833897,1
AKJ22121,0,Train,0.00036450594966955734,0
APQ31244,0,Train,1.1742271300787678e-06,0
AWM11456,0,Train,6.6593663874262e-05,0
AVU05494,0,Train,0.00034219044397593027,0
QOV05164,0,Train,0.12634766179618037,0
QCO95422,0,Train,0.00016560818008340614,0
ARE29961,1,Train,0.9912630585615216,1
AKJ22013,0,Train,0.0002469589449387336,0
QCO95428,0,Train,0.00012056316264679404,0
QBF80532,1,Train,0.9149392103706551,1
ART84250,0,Train,0.0010233524694798085,0
AZL47228,0,Train,0.00014582594186545678,0
DQ514531,1,Train,0.9807218527069218,1
AST12964,1,Train,0.9805693270516057,1
ABN10848,1,Train,0.8603505181015689,1
ADO39828,0,Train,6.0326115082375675e-05,0
AWQ28488,0,Train,0.0009960311673214081,0
YP_009824967,0,Train,0.03158221548636797,0
AVK87318,1,Train,0.9076954892712235,1
AKJ21941,0,Train,0.0003810866530888214,0
QDF43805,0,Train,0.01998422968753282,0
DQ412628,1,Train,0.946854565052036,1
QCQ19816,0,Train,0.000297330312549002,0
ARB07406,1,Train,0.9883165301889923,1
ACT10927,0,Train,2.304541168434212e-06,0
AKJ21755,0,Train,0.000338990186733475,0
QKV43817,0,Train,0.00017598984349633152,0
AYR18448,0,Train,0.026780351468156664,0
ACN89743,0,Train,0.0006165205218156952,0
AQY61719,0,Train,0.00013091152099823028,0
AY559089,1,Train,0.9740996149273052,1
AHL38184,0,Train,0.00010763869614344735,0
ATG84877,1,Train,0.9170148659291656,1
QBF80565,1,Train,0.9265366186660318,1
YP_001718605,0,Train,0.0034114327064712884,0
QGQ60312,0,Train,9.529181215517817e-05,0
AFE48827,0,Train,0.048174001607904325,0
AFG25760,0,Train,4.462218231324978e-05,0
AID56715,0,Train,0.00034382793690899884,0
ADN03339,1,Train,0.9868606807288713,1
ALM31938,0,Train,0.00035779917633900417,0
AIN52130,0,Train,0.0002532160522550381,0
AYR18430,0,Train,0.00012778873735499799,0
ADO39839,0,Train,1.897735689149455e-05,0
AHI48517,1,Train,0.9377231130807268,1
AZP53858,0,Train,0.0005788679887682057,0
AQK38168,0,Train,0.00032041490255628176,0
AYR18400,0,Train,6.860633275673192e-05,0
AID56691,0,Train,0.0002944643143283538,0
AWM11474,0,Train,0.0003277532301449927,0
AY304489,1,Train,0.9304625544614871,1
GQ153548,0,Train,0.0035965501299272343,0
QER78627,0,Train,0.0005181316801246348,0
ALF39589,0,Train,0.00044830291565608316,0
QCQ20044,0,Train,0.00043452385079285877,0
AFB74179,0,Train,0.00045386226136744166,0
ATQ39390,0,Train,0.015521376605776394,0
QED88040,1,Train,0.9911015636716708,1
AHC03502,0,Train,0.00023444997195650946,0
MK211376,1,Train,0.8608924565707764,1
AKN24803,1,Train,0.9296558616862391,1
ALA50256,1,Train,0.9895544547379358,1
AYR18567,0,Train,0.00033123176089948966,0
